      Vg      	      Vs      	    Efs-Ei    	     Cexp     	    Gexp/w    	      Cf      	     Gf/w     	      Cs      	    |Qs|      	    |Qit|     
     (V)      	     (eV)     	     (eV)     	   (uF/cm2)   	   (uF/cm2)   	   (uF/cm2)   	   (uF/cm2)   	   (uF/cm2)   	   (C/cm2)    	   (C/cm2)    
1.000000e+000	-1.101685e+000	7.217174e-001	2.027160e-002	2.531455e-004	3.012050e-002	2.478597e-004	3.042807e-002	1.309045e-006	0.000000e+000
9.500000e-001	-1.088867e+000	7.089000e-001	2.057160e-002	2.555392e-004	3.012245e-002	2.478918e-004	3.043006e-002	1.202061e-006	0.000000e+000
9.000000e-001	-1.074829e+000	6.948619e-001	2.075960e-002	2.515285e-004	3.012519e-002	2.479368e-004	3.043285e-002	1.090097e-006	0.000000e+000
8.500000e-001	-1.060791e+000	6.808238e-001	2.095120e-002	2.600210e-004	3.012865e-002	2.479938e-004	3.043638e-002	9.837454e-007	0.000000e+000
8.000000e-001	-1.046143e+000	6.661754e-001	2.115360e-002	2.694175e-004	3.013326e-002	2.480697e-004	3.044109e-002	8.789158e-007	0.000000e+000
7.500000e-001	-1.030884e+000	6.509166e-001	2.135040e-002	2.660434e-004	3.013948e-002	2.481722e-004	3.044743e-002	7.765449e-007	0.000000e+000
7.000000e-001	-1.014404e+000	6.344371e-001	2.155680e-002	2.753317e-004	3.014830e-002	2.483174e-004	3.045643e-002	6.739838e-007	0.000000e+000
6.500000e-001	-9.973145e-001	6.173473e-001	2.177320e-002	2.842380e-004	3.016052e-002	2.485188e-004	3.046891e-002	5.765856e-007	0.000000e+000
6.000000e-001	-9.790039e-001	5.990367e-001	2.200160e-002	2.970977e-004	3.017826e-002	2.488112e-004	3.048702e-002	4.825135e-007	0.000000e+000
5.500000e-001	-9.588623e-001	5.788951e-001	2.222800e-002	3.005737e-004	3.020550e-002	2.492607e-004	3.051482e-002	3.913281e-007	0.000000e+000
5.000000e-001	-9.368896e-001	5.569225e-001	2.246040e-002	3.059340e-004	3.024847e-002	2.499704e-004	3.055868e-002	3.063440e-007	0.000000e+000
4.500000e-001	-9.124756e-001	5.325084e-001	2.268920e-002	3.081176e-004	3.032023e-002	2.511580e-004	3.063192e-002	2.290376e-007	0.000000e+000
4.000000e-001	-8.850098e-001	5.050426e-001	2.293840e-002	3.311823e-004	3.044792e-002	2.532779e-004	3.076226e-002	1.622043e-007	0.000000e+000
3.500000e-001	-8.532715e-001	4.733043e-001	2.322680e-002	3.487849e-004	3.069454e-002	2.573978e-004	3.101404e-002	1.087410e-007	0.000000e+000
3.000000e-001	-8.154297e-001	4.354625e-001	2.359040e-002	4.025984e-004	3.119890e-002	2.659269e-004	3.152909e-002	7.251968e-008	0.000000e+000
2.500000e-001	-7.708740e-001	3.909068e-001	2.406840e-002	5.115176e-004	3.211751e-002	2.818184e-004	3.246760e-002	5.546818e-008	0.000000e+000
2.000000e-001	-7.232666e-001	3.432994e-001	2.471760e-002	6.661589e-004	3.334805e-002	3.038288e-004	3.372574e-002	5.002025e-008	0.000000e+000
1.500000e-001	-6.738281e-001	2.938609e-001	2.554080e-002	8.989071e-004	3.477021e-002	3.302979e-004	3.518113e-002	4.762189e-008	0.000000e+000
1.000000e-001	-6.243896e-001	2.444225e-001	2.667040e-002	1.268083e-003	3.631836e-002	3.603689e-004	3.676709e-002	4.573516e-008	0.000000e+000
5.000000e-002	-5.749512e-001	1.949840e-001	2.826560e-002	1.740518e-003	3.805674e-002	3.956965e-004	3.854994e-002	4.385681e-008	0.000000e+000
